autor_articulo,href_articulo,imagen,medio,time,titulo_articulo,titulo_imagen
ISABEL VAQUERO,https://www.gentleman.elconfidencial.com/multimedia/album/reportajes/2018-11-12/subasta-joyas-maria-antonieta-reina-de-francia-familia-borbon-parma_1642356/,https://www.ecestaticos.com/imagestatic/front/d1f/2b4/862/d1f2b48624404160e29b342ff015f7ed.png?mtime=1541885940,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,¿CUÁNTO PAGARÍA USTED POR UNA JOYA DE  LA REINA MARÍA ANTONIETA?,¿CUÁNTO PAGARÍA USTED POR UNA JOYA DE  LA REINA MARÍA ANTONIETA?
isabel vaquero,https://www.gentleman.elconfidencial.com/multimedia/album/estilo-hombre/2018-11-12/jerseys-hombre-gucci-prada-fendi-burberry-saint-laurent-kenzo-polo-ralph-lauren-missoni_1642196/,https://www.ecestaticos.com/imagestatic/front/5d5/a1b/692/5d5a1b692c09db5b0426441e9aa8bef9.png?mtime=1541681245,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,22 jerséis de punto RETRO y cómo combinarlos con elegancia ,22 jerséis de punto RETRO y cómo combinarlos con elegancia 
N.Tiburcio,https://blogs.vanitatis.elconfidencial.com/casas-reales/reina-letizia/2018-11-12/letizia-reina-look-visita-estado-peru-vestido-carolina-herrera_1643856/,https://www.ecestaticos.com/imagestatic/front/918/916/8ca/9189168ca47e28740237a16e43e77a84.jpg?mtime=1542045197,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,La reina Letizia empieza fuerte su visita a Perú con un vestido nuevo de 2.800 euros,La reina Letizia empieza fuerte su visita a Perú con un vestido nuevo de 2.800 euros
J. Madrid,https://www.vanitatis.elconfidencial.com/celebrities/2018-11-12/michelle-obama-libro-exito-no-publicado_1643744/,https://www.ecestaticos.com/imagestatic/front/dc8/89a/ff3/dc889aff36e9e7ad9251f6c19d4fca90.jpg?mtime=1542040426,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Por qué el libro de Michelle Obama es un superventas antes de publicarse,Por qué el libro de Michelle Obama es un superventas antes de publicarse
Jorge C. Parcero,https://www.vanitatis.elconfidencial.com/famosos/2018-11-12/inaki-urdangarin-declaraciones-soledad-carcel_1643555/,https://www.ecestaticos.com/imagestatic/front/e39/773/bdb/e39773bdb4efac32edc2af8d56072d5d.jpg?mtime=1542040448,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,"Primeras declaraciones de Urdangarin en la cárcel: Por favor, habladme ","Primeras declaraciones de Urdangarin en la cárcel: Por favor, habladme "
J. M.,https://www.vanitatis.elconfidencial.com/famosos/2018-11-12/rita-maestre-cambio-vida-abandono-podemos-rumores-embarazo_1643498/,https://www.ecestaticos.com/imagestatic/front/04d/2ec/ee0/04d2ecee0602a5427e8b78ec596c5d5c.jpg?mtime=1542040491,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Rita rompe con Podemos: así será su nueva vida ,Rita rompe con Podemos: así será su nueva vida 
Christian Rodríguez,https://www.vanitatis.elconfidencial.com/famosos/2018-11-12/miley-cyrus-gerard-butler-fuego-california-kim_1643574/,https://www.ecestaticos.com/imagestatic/front/ef7/001/bcd/ef7001bcd816561c0afb29ad41b01cc1.jpg?mtime=1542029124,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Incendios en California: Miley y Butler pierden su casa ,Incendios en California: Miley y Butler pierden su casa 
Sara Alcoceba,https://www.vanitatis.elconfidencial.com/estilo/belleza/2018-11-12/maria-pedraza-cuidado-cabello-de-rizado-a-liso_1639854/,https://www.ecestaticos.com/imagestatic/front/1d3/f96/566/1d3f9656642780cff81cce7e54bdac25.jpg?mtime=1541957413,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Pasar del rizado al liso: así lo hace la actriz María Pedraza ,Pasar del rizado al liso: así lo hace la actriz María Pedraza 
C. Villar,https://www.vanitatis.elconfidencial.com/famosos/2018-11-12/begona-gomez-reina-letizia-agenda-internacional_1643593/,https://www.ecestaticos.com/imagestatic/front/c9c/118/9a3/c9c1189a39df8058bf6ebf21a287c201.jpg?mtime=1542045139,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Begoña se come la agenda internacional de Letizia,Begoña se come la agenda internacional de Letizia
M. Alonso,https://www.vanitatis.elconfidencial.com/estilo/belleza/2018-11-12/blanca-suarez-manicura-nail-art_1641611/,https://www.ecestaticos.com/imagestatic/front/94e/504/dd8/94e504dd8fa49f30a1af78a1ade96641.jpg?mtime=1541957713,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Los secretos de las uñas de gata de Blanca Suárez,Los secretos de las uñas de gata de Blanca Suárez
J. E. ,https://www.elconfidencial.com/sociedad/2018-11-07/tabaco-sanidad-cigarro-electronico-fumadores-bra_1640983/,https://www.ecestaticos.com/imagestatic/front/423/f15/1c0/423f151c0b08fcab3c771f70dc564026.png?mtime=1541699460,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Terapia personalizada y e-cigarro: alternativas contra el tabaquismo,Terapia personalizada y e-cigarro: alternativas contra el tabaquismo
El Confidencial,https://www.elconfidencial.com/multimedia/album/mundo/2018-11-07/maniobras-otan-trident-juncture-guerra-fria_1641276/,https://www.ecestaticos.com/imagestatic/front/cfd/9bb/54d/cfd9bb54d8123e9e73c83319ecd497e9.jpg?mtime=1541696395,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Las mayores maniobras de la OTAN desde la Guerra Fría,Las mayores maniobras de la OTAN desde la Guerra Fría
El Confidencial,https://www.elconfidencial.com/multimedia/album/mundo/2018-11-08/soldados-eeuu-desplegados-frontera-mexico_1641808/,https://www.ecestaticos.com/imagestatic/front/11f/a7d/48e/11fa7d48e29ca17a19ff8608c08b0c68.jpg?mtime=1541696426,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Los soldados de EEUU desplegados en la frontera con México,Los soldados de EEUU desplegados en la frontera con México
Irene Castro,https://www.eldiario.es/politica/Sanchez-Iglesias-Consejo-General-Judicial_0_835017381.html,,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Sánchez e Iglesias se reúnen para negociar la composición del Poder Judicial,
Elena  Herrera ,https://www.eldiario.es/politica/magistrado-PP-Gurtel-progresistas-CGPJ_0_835017125.html,https://www.eldiario.es/politica/Audiencia-Nacional-Jose-Ricardo-Prada_EDIIMA20160812_0305_34.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"El juez progresista que condenó al PP por Gürtel, entre los vocales acordados para el Consejo General del Poder Judicial",El juez de la Audiencia Nacional José Ricardo de Prada. 
,https://www.eldiario.es/politica/asociaciones-Justicia-PP-PSOE-Manuel-Marchena_0_835017199.html,,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"Las asociaciones de jueces lamentan  ""la mala imagen"" de la Justicia tras el acuerdo para nombrar a Marchena",
El Rastreador ,https://www.eldiario.es/rastreador/Pedro-Sanchez-proponia-convocatoria-CGPJ_6_835076529.html,,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Cuando Pedro Sánchez proponía una convocatoria pública para nombrar a los miembros del CGPJ,
,https://www.eldiario.es/politica/fiscales-mantienen-convocada-reunirse-Justicia_0_835017496.html,,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Los jueces y fiscales mantienen la huelga convocada el día 19 tras reunirse con Justicia,
Pedro Águeda,https://www.eldiario.es/politica/Manuel-Marchena-solucion-recuperar-Justicia_0_835016663.html,https://www.eldiario.es/politica/Gobierno-PP-Manuel-Marchena-CGPJ_EDIIMA20181112_0130_21.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"Marchena, nuevo presidente del CGPJ: una solución drástica para recuperar el crédito de la Justicia",El Gobierno y el PP pactan que Manuel Marchena sea presidente del CGPJ
Aitor Riveiro,https://www.eldiario.es/madrid/Pablo-Echenique-Maestre-Podemos-Madrid_0_835016765.html,https://www.eldiario.es/economia/Unidos-Podemos-protesta-TS-hipotecas_EDIIMA20181106_0998_19.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Echenique sitúa políticamente fuera del partido a Rita Maestre y los demás concejales de Podemos en Madrid,Unidos Podemos convoca protesta el sábado ante el TS tras el acuerdo hipotecas
Fátima Caballero,https://www.eldiario.es/madrid/Rita-Maestre-Podemos-Madrid-desacuerdos_0_835016560.html,https://www.eldiario.es/fotos/Madrid-Maestre-Garcia-Castano-Ayuntamiento_EDIIMA20181112_0077_21.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Rita Maestre y el resto de concejales de Podemos se borran de las primarias por desacuerdos con la lista,Los concejales de Ahora Madrid Rita Maestre y Jorge García Castaño durante un Pleno del Ayuntamiento.
Fátima Caballero,https://www.eldiario.es/madrid/Carmena-Podemos-retirado-primarias-continuacion_0_835016672.html,https://www.eldiario.es/fotos/Manuela-Carmena-foto-archivo_EDIIMA20181112_0189_21.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"Carmena respalda a los ediles que se han retirado de las primarias de Podemos: ""Forman parte del proyecto""",Manuela Carmena en una foto de archivo.
eldiarioes cultura,https://www.eldiario.es/cultura/comics/Stan-Lee-leyenda-Marvel-Comics_0_835017451.html,https://www.eldiario.es/fotos/Stan-Lee-lanzando-presentacion-Spiderman_EDIIMA20181112_0851_22.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"Stan Lee, leyenda de Marvel Comics, muere a los 95 años",Stan Lee lanzando su 'tela de araña' en la presentación de la última entrega de Spiderman
Barbijaputa ,https://www.eldiario.es/barbijaputa/Radiojaputa-hacer-pegatinas-Stop-feminazis_6_835076530.html,https://www.eldiario.es/fotos/Radiojaputa_EDIIMA20180416_0776_79.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Radiojaputa: qué hacer con las pegatinas de 'Stop feminazis',Radiojaputa
eldiario.es ,https://www.eldiario.es/rastreador/Teodoro-Garcia-Egea-Espana-franquista_6_835076487.html,https://www.eldiario.es/fotos/Poema-Espana-Santiago-Teodoro-Garcia_EDIIMA20181112_0095_21.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"El número dos del PP cita a un poeta franquista para definir España: ""Es el limpio orgullo de la historia de la raza""","Poema 'España' de José Luis Santiago de Merás, citado por Teodoro García Egea"
eldiario.es Tecnología,https://www.eldiario.es/tecnologia/Whatsapp-borrara-mensajes-antiguos-evitarlo_0_835016742.html,https://www.eldiario.es/tecnologia/Whatsapp-reafirma-noticias-elecciones-Brasil_EDIIMA20181024_0001_24.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Whatsapp borrará todos tus mensajes y fotos antiguas a partir de hoy: cómo evitarlo,Whatsapp reafirma su lucha contra las noticias falsas en las elecciones de Brasil
Mónica Zas Marcos,https://www.eldiario.es/cultura/cine/Lisbeth-Salander-mujer-amaban-mujeres_0_833617114.html,https://www.eldiario.es/fotos/Lisbeth-Salander-blanca-Claire-Foy_EDIIMA20181109_0403_19.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"Lisbeth Salander, la mujer a la que no amaban (todas) las mujeres","La Lisbeth Salander de ""marca blanca"" de Claire Foy"
Oriol Solé Altimira,https://www.eldiario.es/catalunya/Tribunal-Cuentas-Artur-millones-consulta_0_835016858.html,,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,"El Tribunal de Cuentas condena a Artur Mas a pagar 4,9 millones de euros por la consulta del 9-N",
Pau Rodríguez,https://www.eldiario.es/catalunya/Ayuntamiento-Barcelona-permitira-ciudadanos-conectarse_0_835016784.html,https://www.eldiario.es/politica/Colau-responsabilidad-PDeCAT-ERC-PP_EDIIMA20181111_0142_21.jpg,eldiario.es - Periodismo a pesar de todo,2018-11-12T21:16:19.838826,Barcelona lanza su eléctrica pública a competir en el mercado: 20.000 hogares podrán conectarse desde el 1 de enero,"Colau apela a la ""responsabilidad"" de PDeCAT y ERC para ""echar fuera"" los recortes del PP"
